Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-02 16:33,CH_IN,3459.56,2.8686,9999.910914,-81.79,-0.82,30.79,0.31,-90.35,-0.90,-81.79,-0.82
1,Entry long,2025-01-02 15:30,IMP_L,3485.99,2.8686,9999.910914,-81.79,-0.82,30.79,0.31,-90.35,-0.90,-81.79,-0.82
2,Exit long,2025-01-06 01:33,SL,3628.85,2.722,9917.98808,-46.2,-0.47,2.82,0.03,-43.23,-0.44,-127.99,-1.28
2,Entry long,2025-01-06 01:24,IMP_L,3643.64,2.722,9917.98808,-46.2,-0.47,2.82,0.03,-43.23,-0.44,-127.99,-1.28
3,Exit long,2025-01-06 03:03,TP1,3669.31,0.2706,986.964792,5.36,0.54,6.74,0.68,-1.99,-0.20,-125.3,-1.25
3,Entry long,2025-01-06 02:51,IMP_L,3647.32,0.2706,986.964792,5.36,0.54,6.74,0.68,-1.99,-0.20,-125.3,-1.25
4,Exit long,2025-01-06 06:30,TP2,3689.8,2.436,8884.87152,98.12,1.10,106.66,1.20,-17.91,-0.20,-24.52,-0.25
4,Entry long,2025-01-06 02:51,IMP_L,3647.32,2.436,8884.87152,98.12,1.10,106.66,1.20,-17.91,-0.20,-24.52,-0.25
5,Exit short,2025-01-07 16:06,TP1,3542.77,0.2788,997.264812,8.95,0.90,21.05,2.11,-0.84,-0.08,-18.26,-0.18
5,Entry short,2025-01-07 16:00,DLY_S,3576.99,0.2788,997.264812,8.95,0.90,21.05,2.11,-0.84,-0.08,-18.26,-0.18
6,Exit short,2025-01-07 16:39,TP2,3474.64,2.5099,8977.887201,251.58,2.80,376.85,4.20,-7.56,-0.08,236.01,2.36
6,Entry short,2025-01-07 16:00,DLY_S,3576.99,2.5099,8977.887201,251.58,2.80,376.85,4.20,-7.56,-0.08,236.01,2.36
7,Exit short,2025-01-16 14:27,TP1,3311.09,0.3071,1023.303265,5.86,0.57,9.57,0.93,-2.36,-0.23,239.1,2.39
7,Entry short,2025-01-16 14:09,IMP_S,3332.15,0.3071,1023.303265,5.86,0.57,9.57,0.93,-2.36,-0.23,239.1,2.39
8,Exit short,2025-01-16 15:42,TP2,3289.05,2.7647,9212.395105,113.67,1.23,141.42,1.53,-28.72,-0.31,355.53,3.56
8,Entry short,2025-01-16 14:09,IMP_S,3332.15,2.7647,9212.395105,113.67,1.23,141.42,1.53,-28.72,-0.31,355.53,3.56
9,Exit long,2025-01-20 18:03,SL,3300.42,3.0769,10355.33772,-206.43,-1.99,76.52,0.74,-235.41,-2.27,149.1,1.49
9,Entry long,2025-01-20 17:36,IMP_L,3365.51,3.0769,10355.33772,-206.43,-1.99,76.52,0.74,-235.41,-2.27,149.1,1.49
10,Exit long,2025-01-21 18:18,SL,3320.31,3.0589,10149.06313,1.34,0.01,92.82,0.91,-50.61,-0.50,150.44,1.50
10,Entry long,2025-01-21 17:06,IMP_L,3317.88,3.0589,10149.06313,1.34,0.01,92.82,0.91,-50.61,-0.50,150.44,1.50
11,Exit long,2025-01-24 16:15,SL,3390.96,2.9741,10150.42485,-71.44,-0.70,23.9,0.24,-97.8,-0.96,79,0.79
11,Entry long,2025-01-24 15:39,IMP_L,3412.94,2.9741,10150.42485,-71.44,-0.70,23.9,0.24,-97.8,-0.96,79,0.79
12,Exit short,2025-01-27 03:00,TP1,3166.25,0.3111,1007.724453,22.11,2.19,24.03,2.38,-4.65,-0.46,98.39,0.98
12,Entry short,2025-01-27 00:30,DLY_S,3239.23,0.3111,1007.724453,22.11,2.19,24.03,2.38,-4.65,-0.46,98.39,0.98
13,Exit short,2025-01-27 07:18,TP2,3108.97,2.8004,9071.139692,359.45,3.96,384.07,4.23,-41.81,-0.46,460.56,4.61
13,Entry short,2025-01-27 00:30,DLY_S,3239.23,2.8004,9071.139692,359.45,3.96,384.07,4.23,-41.81,-0.46,460.56,4.61
14,Exit long,2025-01-28 16:09,SL,3177.4,3.2791,10460.329,-47.58,-0.45,2.17,0.02,-70,-0.67,412.97,4.13
14,Entry long,2025-01-28 16:03,IMP_L,3190,3.2791,10460.329,-47.58,-0.45,2.17,0.02,-70,-0.67,412.97,4.13
15,Exit short,2025-01-29 20:39,SL,3146.45,3.3864,10412.8075,-248.65,-2.39,32.74,0.31,-270.75,-2.60,164.32,1.64
15,Entry short,2025-01-29 20:33,DLY_S,3074.89,3.3864,10412.8075,-248.65,-2.39,32.74,0.31,-270.75,-2.60,164.32,1.64
16,Exit short,2025-02-08 10:21,CH_IN,2615.53,3.8843,10164.08665,-1.51,-0.01,44.18,0.43,-15.79,-0.16,162.81,1.63
16,Entry short,2025-02-08 09:18,IMP_S,2616.71,3.8843,10164.08665,-1.51,-0.01,44.18,0.43,-15.79,-0.16,162.81,1.63
17,Exit long,2025-02-10 16:21,SL,2651.19,3.8219,10162.69963,-36.21,-0.36,0.16,0.00,-64.47,-0.63,126.6,1.27
17,Entry long,2025-02-10 16:09,IMP_L,2659.07,3.8219,10162.69963,-36.21,-0.36,0.16,0.00,-64.47,-0.63,126.6,1.27
18,Exit short,2025-02-18 16:45,TP1,2665.34,0.3773,1012.552464,6.31,0.62,7.45,0.74,-5.62,-0.55,130.18,1.30
18,Entry short,2025-02-18 15:39,IMP_S,2683.68,0.3773,1012.552464,6.31,0.62,7.45,0.74,-5.62,-0.55,130.18,1.30
19,Exit short,2025-02-18 17:12,SL,2671.02,3.3961,9114.045648,37.54,0.41,88.42,0.97,-50.55,-0.55,170.46,1.70
19,Entry short,2025-02-18 15:39,IMP_S,2683.68,3.3961,9114.045648,37.54,0.41,88.42,0.97,-50.55,-0.55,170.46,1.70
20,Exit long,2025-02-20 14:39,SL,2735.99,3.7097,10170.21674,-26.61,-0.26,0,0.00,-32.95,-0.32,143.85,1.44
20,Entry long,2025-02-20 14:33,IMP_L,2741.52,3.7097,10170.21674,-26.61,-0.26,0,0.00,-32.95,-0.32,143.85,1.44
21,Exit long,2025-02-26 11:45,SL,2488,4.076,10143.61512,-8.61,-0.08,17.5,0.17,-50.37,-0.50,135.23,1.35
21,Entry long,2025-02-26 10:39,IMP_L,2488.62,4.076,10143.61512,-8.61,-0.08,17.5,0.17,-50.37,-0.50,135.23,1.35
22,Exit long,2025-03-07 15:45,TP1,2248.47,0.4586,1013.386764,17.15,1.69,17.61,1.74,-0.83,-0.08,149.65,1.50
22,Entry long,2025-03-07 15:42,IMP_L,2209.74,0.4586,1013.386764,17.15,1.69,17.61,1.74,-0.83,-0.08,149.65,1.50
23,Exit long,2025-03-07 16:33,SL,2186.81,4.128,9121.80672,-100.1,-1.10,202.01,2.21,-117.62,-1.29,52.28,0.52
23,Entry long,2025-03-07 15:42,IMP_L,2209.74,4.128,9121.80672,-100.1,-1.10,202.01,2.21,-117.62,-1.29,52.28,0.52
24,Exit short,2025-03-12 11:24,CH_IN,1892.8,5.3285,10052.10868,-39.72,-0.39,52.67,0.52,-81.77,-0.81,12.57,0.13
24,Entry short,2025-03-12 10:21,IMP_S,1886.48,5.3285,10052.10868,-39.72,-0.39,52.67,0.52,-81.77,-0.81,12.57,0.13
25,Exit long,2025-03-17 15:54,SL,1898.97,5.241,10012.51122,-66,-0.66,2.55,0.03,-68.1,-0.68,-53.43,-0.53
25,Entry long,2025-03-17 15:45,IMP_L,1910.42,5.241,10012.51122,-66,-0.66,2.55,0.03,-68.1,-0.68,-53.43,-0.53
26,Exit long,2025-03-19 13:45,SL,1999.43,4.9109,9946.438642,-133.37,-1.34,33.11,0.33,-156.79,-1.58,-186.8,-1.87
26,Entry long,2025-03-19 12:39,DLY_L,2025.38,4.9109,9946.438642,-133.37,-1.34,33.11,0.33,-156.79,-1.58,-186.8,-1.87
27,Exit short,2025-03-24 02:54,TP1,1978.8,0.4929,981.132237,5.19,0.53,5.49,0.56,-1.3,-0.13,-184.26,-1.84
27,Entry short,2025-03-24 02:00,IMP_S,1990.53,0.4929,981.132237,5.19,0.53,5.49,0.56,-1.3,-0.13,-184.26,-1.84
28,Exit short,2025-03-24 04:06,SL,1997.99,4.437,8831.98161,-38.41,-0.43,59.78,0.68,-68.23,-0.77,-220.01,-2.20
28,Entry short,2025-03-24 02:00,IMP_S,1990.53,4.437,8831.98161,-38.41,-0.43,59.78,0.68,-68.23,-0.77,-220.01,-2.20
