Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-01-03 00:10,TIME,3441.81,5.8233,19999.89092,42.8,0.21,61.38,0.31,-17.24,-0.09,42.8,0.43
1,Entry long,2025-01-02 23:25,多,3434.46,5.8233,19999.89092,42.8,0.21,61.38,0.31,-17.24,-0.09,42.8,0.43
2,Exit short,2025-01-09 02:20,EXT,3350.82,6.0182,20085.56195,-80.34,-0.40,21.42,0.11,-80.34,-0.40,-37.54,-0.38
2,Entry short,2025-01-09 02:05,空,3337.47,6.0182,20085.56195,-80.34,-0.40,21.42,0.11,-80.34,-0.40,-37.54,-0.38
3,Exit long,2025-01-09 12:20,TIME,3315.89,6.0337,19924.60481,82.48,0.41,140.65,0.71,-48.81,-0.24,44.94,0.45
3,Entry long,2025-01-09 11:35,多,3302.22,6.0337,19924.60481,82.48,0.41,140.65,0.71,-48.81,-0.24,44.94,0.45
4,Exit short,2025-01-10 07:30,TIME,3263.28,6.1504,20089.66656,19.19,0.10,48.28,0.24,-33.21,-0.17,64.13,0.64
4,Entry short,2025-01-10 06:45,空,3266.4,6.1504,20089.66656,19.19,0.10,48.28,0.24,-33.21,-0.17,64.13,0.64
5,Exit short,2025-01-12 17:15,TIME,3268,6.1323,20128.04829,87.69,0.44,92.41,0.46,-28.58,-0.14,151.82,1.52
5,Entry short,2025-01-12 16:30,空,3282.3,6.1323,20128.04829,87.69,0.44,92.41,0.46,-28.58,-0.14,151.82,1.52
6,Exit short,2025-01-14 03:00,TIME,3141.67,6.4593,20303.4531,10.46,0.05,51.87,0.26,-72.34,-0.36,162.28,1.62
6,Entry short,2025-01-14 02:15,空,3143.29,6.4593,20303.4531,10.46,0.05,51.87,0.26,-72.34,-0.36,162.28,1.62
7,Exit long,2025-01-16 15:15,TIME,3332.22,6.1111,20324.35749,39.17,0.19,96.01,0.47,-76.27,-0.38,201.46,2.01
7,Entry long,2025-01-16 14:30,多,3325.81,6.1111,20324.35749,39.17,0.19,96.01,0.47,-76.27,-0.38,201.46,2.01
8,Exit long,2025-01-17 14:25,TIME,3417.35,5.9809,20402.58436,36.24,0.18,69.68,0.34,-46.47,-0.23,237.7,2.38
8,Entry long,2025-01-17 13:40,多,3411.29,5.9809,20402.58436,36.24,0.18,69.68,0.34,-46.47,-0.23,237.7,2.38
9,Exit short,2025-01-17 21:10,TIME,3444.2,5.9702,20475.39792,-87.16,-0.43,81.31,0.40,-144.42,-0.71,150.54,1.51
9,Entry short,2025-01-17 20:25,空,3429.6,5.9702,20475.39792,-87.16,-0.43,81.31,0.40,-144.42,-0.71,150.54,1.51
10,Exit short,2025-01-18 17:05,TIME,3296.26,6.1098,20301.03246,161.54,0.80,182.32,0.90,-118.29,-0.58,312.08,3.12
10,Entry short,2025-01-18 16:20,空,3322.7,6.1098,20301.03246,161.54,0.80,182.32,0.90,-118.29,-0.58,312.08,3.12
11,Exit long,2025-01-18 17:50,EXT,3266.73,6.2523,20624.1494,-199.57,-0.97,17.38,0.08,-199.57,-0.97,112.51,1.13
11,Entry long,2025-01-18 17:20,多,3298.65,6.2523,20624.1494,-199.57,-0.97,17.38,0.08,-199.57,-0.97,112.51,1.13
12,Exit long,2025-01-20 18:00,TIME,3310.88,6.0731,20224.75908,-117.45,-0.58,371.49,1.84,-134.88,-0.67,-4.95,-0.05
12,Entry long,2025-01-20 17:15,多,3330.22,6.0731,20224.75908,-117.45,-0.58,371.49,1.84,-134.88,-0.67,-4.95,-0.05
13,Exit short,2025-01-21 14:05,TIME,3292.67,6.0337,19990.07046,123.09,0.62,148.07,0.74,-19.97,-0.10,118.14,1.18
13,Entry short,2025-01-21 13:20,空,3313.07,6.0337,19990.07046,123.09,0.62,148.07,0.74,-19.97,-0.10,118.14,1.18
14,Exit long,2025-01-23 03:05,EXT,3223.94,6.2568,20236.2431,-64.7,-0.32,15.33,0.08,-65.88,-0.33,53.44,0.53
14,Entry long,2025-01-23 02:55,多,3234.28,6.2568,20236.2431,-64.7,-0.32,15.33,0.08,-65.88,-0.33,53.44,0.53
15,Exit short,2025-01-24 14:50,TIME,3392.58,5.9072,20106.86829,66.22,0.33,75.43,0.38,-19.85,-0.10,119.66,1.20
15,Entry short,2025-01-24 14:05,空,3403.79,5.9072,20106.86829,66.22,0.33,75.43,0.38,-19.85,-0.10,119.66,1.20
16,Exit short,2025-01-24 16:30,TIME,3386.07,5.9404,20239.23982,124.63,0.62,166.63,0.82,-18.3,-0.09,244.29,2.44
16,Entry short,2025-01-24 15:45,空,3407.05,5.9404,20239.23982,124.63,0.62,166.63,0.82,-18.3,-0.09,244.29,2.44
17,Exit short,2025-01-28 16:20,EXT,3194.82,6.4513,20488.55464,-122.19,-0.60,40.45,0.20,-122.19,-0.60,122.11,1.22
17,Entry short,2025-01-28 16:05,空,3175.88,6.4513,20488.55464,-122.19,-0.60,40.45,0.20,-122.19,-0.60,122.11,1.22
18,Exit long,2025-01-29 18:05,TIME,3097.66,6.5519,20244.12614,51.43,0.25,60.08,0.30,-72.27,-0.36,173.54,1.74
18,Entry long,2025-01-29 17:20,多,3089.81,6.5519,20244.12614,51.43,0.25,60.08,0.30,-72.27,-0.36,173.54,1.74
19,Exit long,2025-01-31 22:10,TIME,3294.61,6.1456,20346.85248,-99.5,-0.49,133.36,0.66,-113.57,-0.56,74.04,0.74
19,Entry long,2025-01-31 21:25,多,3310.8,6.1456,20346.85248,-99.5,-0.49,133.36,0.66,-113.57,-0.56,74.04,0.74
20,Exit long,2025-02-02 03:35,EXT,3125.23,6.4147,20147.80294,-100.39,-0.50,22.32,0.11,-100.39,-0.50,-26.35,-0.26
20,Entry long,2025-02-02 03:20,多,3140.88,6.4147,20147.80294,-100.39,-0.50,22.32,0.11,-100.39,-0.50,-26.35,-0.26
21,Exit long,2025-02-03 02:30,TIME,2785.39,7.064,19947.11128,-271.12,-1.36,151.38,0.76,-343.24,-1.72,-297.47,-2.97
21,Entry long,2025-02-03 01:45,多,2823.77,7.064,19947.11128,-271.12,-1.36,151.38,0.76,-343.24,-1.72,-297.47,-2.97
22,Exit short,2025-02-06 03:10,TIME,2802,6.9474,19405.06084,-61.55,-0.32,135.68,0.70,-79.62,-0.41,-359.02,-3.59
22,Entry short,2025-02-06 02:25,空,2793.14,6.9474,19405.06084,-61.55,-0.32,135.68,0.70,-79.62,-0.41,-359.02,-3.59
23,Exit long,2025-02-06 15:35,EXT,2756.25,6.9736,19281.79479,-60.81,-0.32,79.15,0.41,-116.39,-0.60,-419.83,-4.20
23,Entry long,2025-02-06 15:25,多,2764.97,6.9736,19281.79479,-60.81,-0.32,79.15,0.41,-116.39,-0.60,-419.83,-4.20
24,Exit short,2025-02-07 03:40,TIME,2721.39,7.0546,19160.2936,-38.02,-0.20,32.38,0.17,-119.58,-0.62,-457.85,-4.58
24,Entry short,2025-02-07 02:55,空,2716,7.0546,19160.2936,-38.02,-0.20,32.38,0.17,-119.58,-0.62,-457.85,-4.58
25,Exit short,2025-02-08 21:15,TIME,2632.2,7.2264,19084.19976,62.87,0.33,104.2,0.55,-1.66,-0.01,-394.98,-3.95
25,Entry short,2025-02-08 20:30,空,2640.9,7.2264,19084.19976,62.87,0.33,104.2,0.55,-1.66,-0.01,-394.98,-3.95
26,Exit short,2025-02-09 16:30,EXT,2651.87,7.2719,19209.88735,-74.25,-0.39,31.49,0.16,-96.06,-0.50,-469.23,-4.69
26,Entry short,2025-02-09 16:25,空,2641.66,7.2719,19209.88735,-74.25,-0.39,31.49,0.16,-96.06,-0.50,-469.23,-4.69
27,Exit short,2025-02-10 19:15,TIME,2671.02,7.1391,19061.397,-7.28,-0.04,20.7,0.11,-97.52,-0.51,-476.51,-4.77
27,Entry short,2025-02-10 18:30,空,2670,7.1391,19061.397,-7.28,-0.04,20.7,0.11,-97.52,-0.51,-476.51,-4.77
28,Exit long,2025-02-12 00:45,TIME,2602.01,7.3541,19046.89838,88.54,0.46,153.85,0.81,-7.21,-0.04,-387.97,-3.88
28,Entry long,2025-02-12 00:00,多,2589.97,7.3541,19046.89838,88.54,0.46,153.85,0.81,-7.21,-0.04,-387.97,-3.88
29,Exit long,2025-02-15 02:20,TIME,2718.28,7.0853,19223.83596,35.99,0.19,65.47,0.34,-27.42,-0.14,-351.98,-3.52
29,Entry long,2025-02-15 01:35,多,2713.2,7.0853,19223.83596,35.99,0.19,65.47,0.34,-27.42,-0.14,-351.98,-3.52
30,Exit short,2025-02-16 07:35,TIME,2716.81,7.1207,19295.88648,-49.7,-0.26,29.55,0.15,-66.58,-0.35,-401.68,-4.02
30,Entry short,2025-02-16 06:50,空,2709.83,7.1207,19295.88648,-49.7,-0.26,29.55,0.15,-66.58,-0.35,-401.68,-4.02
31,Exit long,2025-02-17 00:15,EXT,2655.9,7.2142,19196.40906,-36.22,-0.19,0,0.00,-38.88,-0.20,-437.89,-4.38
31,Entry long,2025-02-17 00:05,多,2660.92,7.2142,19196.40906,-36.22,-0.19,0,0.00,-38.88,-0.20,-437.89,-4.38
32,Exit short,2025-02-17 09:40,EXT,2700.4,7.1062,19124.13438,-65.45,-0.34,43.99,0.23,-65.45,-0.34,-503.34,-5.03
32,Entry short,2025-02-17 09:15,空,2691.19,7.1062,19124.13438,-65.45,-0.34,43.99,0.23,-65.45,-0.34,-503.34,-5.03
33,Exit long,2025-02-17 19:30,EXT,2708.69,6.9669,18993.16278,-121.99,-0.64,38.46,0.20,-121.99,-0.64,-625.33,-6.25
33,Entry long,2025-02-17 19:10,多,2726.2,6.9669,18993.16278,-121.99,-0.64,38.46,0.20,-121.99,-0.64,-625.33,-6.25
34,Exit short,2025-02-20 00:40,TIME,2718.01,6.8924,18749.12002,15.51,0.08,42.87,0.23,-101.59,-0.54,-609.82,-6.10
34,Entry short,2025-02-19 23:55,空,2720.26,6.8924,18749.12002,15.51,0.08,42.87,0.23,-101.59,-0.54,-609.82,-6.10
35,Exit long,2025-02-23 13:30,TIME,2788.32,6.7213,18780.3204,-39.19,-0.21,68.49,0.36,-90.07,-0.48,-649.01,-6.49
35,Entry long,2025-02-23 12:45,多,2794.15,6.7213,18780.3204,-39.19,-0.21,68.49,0.36,-90.07,-0.48,-649.01,-6.49
36,Exit short,2025-02-23 14:45,EXT,2818.15,6.6588,18701.83909,-63.66,-0.34,57.2,0.31,-63.66,-0.34,-712.67,-7.13
36,Entry short,2025-02-23 14:20,空,2808.59,6.6588,18701.83909,-63.66,-0.34,57.2,0.31,-63.66,-0.34,-712.67,-7.13
37,Exit short,2025-02-24 01:00,TIME,2820.8,6.5706,18574.56055,40.21,0.22,90.81,0.49,-26.41,-0.14,-672.46,-6.72
37,Entry short,2025-02-24 00:15,空,2826.92,6.5706,18574.56055,40.21,0.22,90.81,0.49,-26.41,-0.14,-672.46,-6.72
38,Exit long,2025-02-24 14:50,TIME,2679.64,6.9767,18654.99813,40.05,0.21,152.44,0.82,-14.65,-0.08,-632.41,-6.32
38,Entry long,2025-02-24 14:05,多,2673.9,6.9767,18654.99813,40.05,0.21,152.44,0.82,-14.65,-0.08,-632.41,-6.32
39,Exit short,2025-03-01 03:10,EXT,2254.36,8.3583,18735.04587,-107.57,-0.57,25.66,0.14,-107.57,-0.57,-739.98,-7.40
39,Entry short,2025-03-01 03:00,空,2241.49,8.3583,18735.04587,-107.57,-0.57,25.66,0.14,-107.57,-0.57,-739.98,-7.40
40,Exit long,2025-03-05 18:20,TIME,2203.83,8.5167,18519.90482,249.45,1.35,288.29,1.56,-47.18,-0.25,-490.53,-4.91
40,Entry long,2025-03-05 17:35,多,2174.54,8.5167,18519.90482,249.45,1.35,288.29,1.56,-47.18,-0.25,-490.53,-4.91
41,Exit long,2025-03-08 03:25,TIME,2133.3,8.9577,19018.89906,90.56,0.48,154.07,0.81,-55.36,-0.29,-399.96,-4.00
41,Entry long,2025-03-08 02:40,多,2123.19,8.9577,19018.89906,90.56,0.48,154.07,0.81,-55.36,-0.29,-399.96,-4.00
42,Exit short,2025-03-13 03:05,EXT,1911.63,10.0724,19200.00888,-54.69,-0.28,32.23,0.17,-54.69,-0.28,-454.66,-4.55
42,Entry short,2025-03-13 02:55,空,1906.2,10.0724,19200.00888,-54.69,-0.28,32.23,0.17,-54.69,-0.28,-454.66,-4.55
43,Exit short,2025-03-14 12:35,TIME,1903.98,10.0447,19090.65548,-34.25,-0.18,40.88,0.21,-53.14,-0.28,-488.91,-4.89
43,Entry short,2025-03-14 11:50,空,1900.57,10.0447,19090.65548,-34.25,-0.18,40.88,0.21,-53.14,-0.28,-488.91,-4.89
44,Exit short,2025-03-20 00:35,TIME,2059.41,9.2825,19022.16313,-94.31,-0.50,73.52,0.39,-126.71,-0.67,-583.22,-5.83
44,Entry short,2025-03-19 23:50,空,2049.25,9.2825,19022.16313,-94.31,-0.50,73.52,0.39,-126.71,-0.67,-583.22,-5.83
45,Exit long,2025-03-21 13:50,EXT,1948.23,9.6386,18833.43886,-55.23,-0.29,0.39,0.00,-73.45,-0.39,-638.45,-6.38
45,Entry long,2025-03-21 13:45,多,1953.96,9.6386,18833.43886,-55.23,-0.29,0.39,0.00,-73.45,-0.39,-638.45,-6.38
46,Exit long,2025-03-21 14:30,EXT,1940.75,9.612,18723.02256,-68.53,-0.37,41.24,0.22,-68.53,-0.37,-706.98,-7.07
46,Entry long,2025-03-21 14:00,多,1947.88,9.612,18723.02256,-68.53,-0.37,41.24,0.22,-68.53,-0.37,-706.98,-7.07
47,Exit short,2025-03-25 02:10,TIME,2080.45,8.9089,18585.92536,51.4,0.28,66.99,0.36,-49.36,-0.27,-655.58,-6.56
47,Entry short,2025-03-25 01:25,空,2086.22,8.9089,18585.92536,51.4,0.28,66.99,0.36,-49.36,-0.27,-655.58,-6.56
48,Exit long,2025-03-26 23:25,TIME,1997.4,9.3366,18688.69876,-39.77,-0.21,90.1,0.48,-71.52,-0.38,-695.35,-6.95
48,Entry long,2025-03-26 22:40,多,2001.66,9.3366,18688.69876,-39.77,-0.21,90.1,0.48,-71.52,-0.38,-695.35,-6.95
49,Exit short,2025-03-27 23:30,TIME,2009.01,9.2393,18609.15131,47.31,0.25,47.31,0.25,-45.09,-0.24,-648.05,-6.48
49,Entry short,2025-03-27 22:45,空,2014.13,9.2393,18609.15131,47.31,0.25,47.31,0.25,-45.09,-0.24,-648.05,-6.48
50,Exit long,2025-03-28 13:20,TIME,1891.2,9.8638,18703.73756,-49.32,-0.26,63.52,0.34,-108.5,-0.58,-697.37,-6.97
50,Entry long,2025-03-28 12:35,多,1896.2,9.8638,18703.73756,-49.32,-0.26,63.52,0.34,-108.5,-0.58,-697.37,-6.97
51,Exit long,2025-03-29 11:30,TIME,1874.7,9.9511,18605.17363,50.15,0.27,98.12,0.53,-18.91,-0.10,-647.21,-6.47
51,Entry long,2025-03-29 10:45,多,1869.66,9.9511,18605.17363,50.15,0.27,98.12,0.53,-18.91,-0.10,-647.21,-6.47
52,Exit short,2025-03-30 18:05,TIME,1815.64,10.2834,18705.5046,34.55,0.18,80.21,0.43,0,0.00,-612.66,-6.13
52,Entry short,2025-03-30 17:20,空,1819,10.2834,18705.5046,34.55,0.18,80.21,0.43,0,0.00,-612.66,-6.13
53,Exit long,2025-03-31 22:35,TIME,1831.07,10.25,18774.515,-6.05,-0.03,24.91,0.13,-68.26,-0.36,-618.71,-6.19
53,Entry long,2025-03-31 21:50,多,1831.66,10.25,18774.515,-6.05,-0.03,24.91,0.13,-68.26,-0.36,-618.71,-6.19
54,Exit long,2025-04-02 07:15,EXT,1865.06,10.0323,18762.40746,-51.57,-0.27,2.11,0.01,-51.57,-0.27,-670.27,-6.70
54,Entry long,2025-04-02 07:05,多,1870.2,10.0323,18762.40746,-51.57,-0.27,2.11,0.01,-51.57,-0.27,-670.27,-6.70
55,Exit short,2025-04-04 09:45,EXT,1818.19,10.3059,18659.34724,-78.74,-0.42,10.51,0.06,-78.74,-0.42,-749.01,-7.49
55,Entry short,2025-04-04 09:15,空,1810.55,10.3059,18659.34724,-78.74,-0.42,10.51,0.06,-78.74,-0.42,-749.01,-7.49
56,Exit short,2025-04-08 06:40,EXT,1599.54,11.6263,18501.97756,-94.75,-0.51,19.07,0.10,-94.75,-0.51,-843.76,-8.44
56,Entry short,2025-04-08 06:30,空,1591.39,11.6263,18501.97756,-94.75,-0.51,19.07,0.10,-94.75,-0.51,-843.76,-8.44
