Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2025-02-14 09:00,TIME,2711.91,7.3988,19989.85588,-95.05,-0.48,91.74,0.46,-113.21,-0.57,-95.05,-0.95
1,Entry short,2025-02-14 05:00,Short-C,2701.77,7.3988,19989.85588,-95.05,-0.48,91.74,0.46,-113.21,-0.57,-95.05,-0.95
2,Exit short,2025-03-01 07:30,TP1,2230.29,5.2686,11879.79734,117.48,0.99,123.35,1.04,-137.23,-1.15,18.47,0.18
2,Entry short,2025-03-01 03:30,Short-A,2254.83,5.2686,11879.79734,117.48,0.99,123.35,1.04,-137.23,-1.15,18.47,0.18
3,Exit short,2025-03-01 07:30,TIME,2235.47,3.5125,7920.090375,60.12,0.76,83.26,1.05,-91.49,-1.15,82.54,0.83
3,Entry short,2025-03-01 03:30,Short-A,2254.83,3.5125,7920.090375,60.12,0.76,83.26,1.05,-91.49,-1.15,82.54,0.83
4,Exit short,2025-03-02 09:00,TP1,2216.35,5.4319,12092.87601,41.82,0.35,47.84,0.40,-46.19,-0.38,120.33,1.20
4,Entry short,2025-03-02 05:30,Short-A,2226.27,5.4319,12092.87601,41.82,0.35,47.84,0.40,-46.19,-0.38,120.33,1.20
5,Exit short,2025-03-02 09:00,TP2,2212.08,3.6212,8061.768924,43.35,0.54,54.89,0.68,-30.79,-0.38,167.71,1.68
5,Entry short,2025-03-02 05:30,Short-A,2226.27,3.6212,8061.768924,43.35,0.54,54.89,0.68,-30.79,-0.38,167.71,1.68
6,Exit short,2025-03-02 09:30,TIME,2211.6,0.0001,0.222627,0.001,0.56,0.002,0.83,-0.001,-0.38,167.71,1.68
6,Entry short,2025-03-02 05:30,Short-A,2226.27,0.0001,0.222627,0.001,0.56,0.002,0.83,-0.001,-0.38,167.71,1.68
7,Exit short,2025-03-02 14:00,TP1,2219.62,5.4319,12195.10437,126.22,1.03,132.25,1.08,-16.85,-0.14,289.87,2.90
7,Entry short,2025-03-02 11:30,Short-A,2245.09,5.4319,12195.10437,126.22,1.03,132.25,1.08,-16.85,-0.14,289.87,2.90
8,Exit short,2025-03-02 14:00,TP2,2216.05,3.6212,8129.919908,97.08,1.19,123,1.51,-11.23,-0.14,391.02,3.91
8,Entry short,2025-03-02 11:30,Short-A,2245.09,3.6212,8129.919908,97.08,1.19,123,1.51,-11.23,-0.14,391.02,3.91
9,Exit short,2025-03-02 15:30,TIME,2195.43,0.0001,0.224509,0.005,2.11,0.01,3.29,-0.0003,-0.14,391.02,3.91
9,Entry short,2025-03-02 11:30,Short-A,2245.09,0.0001,0.224509,0.005,2.11,0.01,3.29,-0.0003,-0.14,391.02,3.91
10,Exit short,2025-03-05 10:30,SL,2256.66,5.6332,12462.94801,-261.86,-2.10,2.84,0.02,-255.5,-2.05,125.01,1.25
10,Entry short,2025-03-05 09:30,Short-A,2212.41,5.6332,12462.94801,-261.86,-2.10,2.84,0.02,-255.5,-2.05,125.01,1.25
11,Exit short,2025-03-05 10:30,SL,2256.66,3.7554,8308.484514,-174.57,-2.10,1.89,0.02,-170.33,-2.05,-45.4,-0.45
11,Entry short,2025-03-05 09:30,Short-A,2212.41,3.7554,8308.484514,-174.57,-2.10,1.89,0.02,-170.33,-2.05,-45.4,-0.45
12,Exit short,2025-03-05 10:30,SL,2238.03,0.0001,0.221241,-0.003,-1.26,0.0001,0.02,-0.01,-2.28,-45.41,-0.45
12,Entry short,2025-03-05 09:30,Short-A,2212.41,0.0001,0.221241,-0.003,-1.26,0.0001,0.02,-0.01,-2.28,-45.41,-0.45
13,Exit short,2025-03-08 17:00,TP1,2164.39,5.4727,11939.35177,82.4,0.69,88.32,0.74,-59.27,-0.50,33.02,0.33
13,Entry short,2025-03-08 15:00,Short-A,2181.62,5.4727,11939.35177,82.4,0.69,88.32,0.74,-59.27,-0.50,33.02,0.33
14,Exit short,2025-03-08 17:30,BE,2181.62,3.6485,7959.64057,-7.96,-0.10,74.17,0.93,-39.52,-0.50,29.04,0.29
14,Entry short,2025-03-08 15:00,Short-A,2181.62,3.6485,7959.64057,-7.96,-0.10,74.17,0.93,-39.52,-0.50,29.04,0.29
15,Exit short,2025-03-09 10:00,TIME,2176.67,0.0001,0.218162,0.0003,0.13,0.002,0.93,-0.01,-2.47,29.04,0.29
15,Entry short,2025-03-08 15:00,Short-A,2181.62,0.0001,0.218162,0.0003,0.13,0.002,0.93,-0.01,-2.47,29.04,0.29
16,Exit short,2025-03-11 21:00,TP1,1940.26,6.1651,12028.72661,54.83,0.46,60.82,0.51,-52.68,-0.44,79.86,0.80
16,Entry short,2025-03-11 20:00,Short-A,1951.1,6.1651,12028.72661,54.83,0.46,60.82,0.51,-52.68,-0.44,79.86,0.80
17,Exit short,2025-03-11 23:00,BE,1951.1,4.11,8019.021,-8.02,-0.10,62.78,0.78,-35.12,-0.44,75.85,0.76
17,Entry short,2025-03-11 20:00,Short-A,1951.1,4.11,8019.021,-8.02,-0.10,62.78,0.78,-35.12,-0.44,75.85,0.76
18,Exit short,2025-03-12 00:00,TIME,1925.1,0.0001,0.19511,0.002,1.23,0.003,1.47,-0.001,-0.44,75.85,0.76
18,Entry short,2025-03-11 20:00,Short-A,1951.1,0.0001,0.19511,0.002,1.23,0.003,1.47,-0.001,-0.44,75.85,0.76
19,Exit short,2025-03-14 15:00,TP1,1885.32,6.3554,12084.85665,90.86,0.75,96.85,0.80,-86.95,-0.72,162.69,1.63
19,Entry short,2025-03-14 12:30,Short-A,1901.51,6.3554,12084.85665,90.86,0.75,96.85,0.80,-86.95,-0.72,162.69,1.63
20,Exit short,2025-03-14 15:00,BE,1906.99,4.2369,8056.507719,-31.29,-0.39,116.77,1.45,-57.96,-0.72,135.43,1.35
20,Entry short,2025-03-14 12:30,Short-A,1901.51,4.2369,8056.507719,-31.29,-0.39,116.77,1.45,-57.96,-0.72,135.43,1.35
21,Exit short,2025-03-14 16:30,TIME,1921.2,0.0001,0.190151,-0.002,-1.14,0.003,1.45,-0.004,-2.17,135.43,1.35
21,Entry short,2025-03-14 12:30,Short-A,1901.51,0.0001,0.190151,-0.002,-1.14,0.003,1.45,-0.004,-2.17,135.43,1.35
22,Exit short,2025-03-15 21:30,TIME,1943,10.4606,20260.61311,-84.63,-0.42,89.98,0.44,-134.4,-0.66,50.8,0.51
22,Entry short,2025-03-15 17:30,Short-C,1936.85,10.4606,20260.61311,-84.63,-0.42,89.98,0.44,-134.4,-0.66,50.8,0.51
23,Exit short,2025-03-18 00:30,TIME,1925.37,10.3498,20091.44575,144.24,0.72,198.61,0.99,-92.43,-0.46,195.04,1.95
23,Entry short,2025-03-17 20:30,Short-C,1941.24,10.3498,20091.44575,144.24,0.72,198.61,0.99,-92.43,-0.46,195.04,1.95
24,Exit short,2025-03-31 19:30,TP1,1819.36,6.6453,12227.81717,125.47,1.03,131.51,1.07,-56.82,-0.46,316.43,3.16
24,Entry short,2025-03-31 17:00,Short-A,1840.07,6.6453,12227.81717,125.47,1.03,131.51,1.07,-56.82,-0.46,316.43,3.16
25,Exit short,2025-03-31 20:00,BE,1840.07,4.4302,8151.878114,-8.15,-0.10,103.62,1.27,-37.88,-0.46,312.36,3.12
25,Entry short,2025-03-31 17:00,Short-A,1840.07,4.4302,8151.878114,-8.15,-0.10,103.62,1.27,-37.88,-0.46,312.36,3.12
26,Exit short,2025-03-31 21:30,TIME,1826.89,0.0001,0.184007,0.001,0.62,0.002,1.27,-0.001,-0.46,312.36,3.12
26,Entry short,2025-03-31 17:00,Short-A,1840.07,0.0001,0.184007,0.001,0.62,0.002,1.27,-0.001,-0.46,312.36,3.12
27,Exit short,2025-04-01 09:00,TIME,1855.95,11.2416,20614.284,-270.3,-1.31,18.02,0.09,-383.87,-1.86,42.05,0.42
27,Entry short,2025-04-01 05:00,Short-A,1833.75,11.2416,20614.284,-270.3,-1.31,18.02,0.09,-383.87,-1.86,42.05,0.42
28,Exit short,2025-04-01 10:30,SL,1890.41,6.4987,12044.30066,-253.07,-2.10,0,0.00,-246.93,-2.05,-215.03,-2.15
28,Entry short,2025-04-01 09:30,Short-A,1853.34,6.4987,12044.30066,-253.07,-2.10,0,0.00,-246.93,-2.05,-215.03,-2.15
29,Exit short,2025-04-01 10:30,SL,1890.41,4.3324,8029.410216,-168.71,-2.10,0,0.00,-164.62,-2.05,-379.73,-3.80
29,Entry short,2025-04-01 09:30,Short-A,1853.34,4.3324,8029.410216,-168.71,-2.10,0,0.00,-164.62,-2.05,-379.73,-3.80
30,Exit short,2025-04-01 10:30,SL,1883.41,0.0001,0.185334,-0.003,-1.72,0,0.00,-0.004,-2.10,-379.73,-3.80
30,Entry short,2025-04-01 09:30,Short-A,1853.34,0.0001,0.185334,-0.003,-1.72,0,0.00,-0.004,-2.10,-379.73,-3.80
31,Exit short,2025-04-02 22:00,SL,1934.84,6.0828,11538.46332,-242.44,-2.10,142.77,1.24,-236.55,-2.05,-626.01,-6.26
31,Entry short,2025-04-02 19:00,Short-C,1896.9,6.0828,11538.46332,-242.44,-2.10,142.77,1.24,-236.55,-2.05,-626.01,-6.26
32,Exit short,2025-04-02 22:00,SL,1934.84,4.0552,7692.30888,-161.62,-2.10,95.18,1.24,-157.7,-2.05,-783.79,-7.84
32,Entry short,2025-04-02 19:00,Short-C,1896.9,4.0552,7692.30888,-161.62,-2.10,95.18,1.24,-157.7,-2.05,-783.79,-7.84
33,Exit short,2025-04-04 12:00,TP1,1811.75,6.0492,11053.76365,83.12,0.75,88.6,0.80,-37.95,-0.34,-704.36,-7.04
33,Entry short,2025-04-04 10:30,Short-A,1827.31,6.0492,11053.76365,83.12,0.75,88.6,0.80,-37.95,-0.34,-704.36,-7.04
34,Exit short,2025-04-04 12:00,TP2,1792.93,4.0328,7369.175768,131.35,1.78,144.76,1.96,-25.3,-0.34,-569.32,-5.69
34,Entry short,2025-04-04 10:30,Short-A,1827.31,4.0328,7369.175768,131.35,1.78,144.76,1.96,-25.3,-0.34,-569.32,-5.69
35,Exit short,2025-04-04 14:30,TIME,1788.1,0.0001,0.182731,0.004,2.05,0.01,3.77,-0.001,-0.34,-569.32,-5.69
35,Entry short,2025-04-04 10:30,Short-A,1827.31,0.0001,0.182731,0.004,2.05,0.01,3.77,-0.001,-0.34,-569.32,-5.69
36,Exit short,2025-04-06 05:00,TP1,1801.6,6.2399,11311.00433,57.92,0.51,63.54,0.56,-28.68,-0.25,-515.17,-5.15
36,Entry short,2025-04-06 03:00,Short-A,1812.69,6.2399,11311.00433,57.92,0.51,63.54,0.56,-28.68,-0.25,-515.17,-5.15
37,Exit short,2025-04-06 07:00,TIME,1808.96,4.16,7540.7904,7.98,0.11,45.4,0.60,-19.12,-0.25,-503.41,-5.03
37,Entry short,2025-04-06 03:00,Short-A,1812.69,4.16,7540.7904,7.98,0.11,45.4,0.60,-19.12,-0.25,-503.41,-5.03
38,Exit short,2025-04-10 00:30,TIME,1670.54,11.6636,18983.67536,-520.07,-2.74,47.19,0.25,-713.97,-3.76,-1023.48,-10.23
38,Entry short,2025-04-09 20:30,Short-C,1627.6,11.6636,18983.67536,-520.07,-2.74,47.19,0.25,-713.97,-3.76,-1023.48,-10.23
39,Exit short,2025-04-11 15:00,TP1,1551.49,6.9061,10766.2646,40.78,0.38,46.14,0.43,-102.41,-0.95,-986.29,-9.86
39,Entry short,2025-04-11 13:00,Short-A,1558.95,6.9061,10766.2646,40.78,0.38,46.14,0.43,-102.41,-0.95,-986.29,-9.86
40,Exit short,2025-04-11 15:30,TP2,1553.73,4.6041,7177.561695,16.87,0.23,44.06,0.61,-68.28,-0.95,-965.83,-9.66
40,Entry short,2025-04-11 13:00,Short-A,1558.95,4.6041,7177.561695,16.87,0.23,44.06,0.61,-68.28,-0.95,-965.83,-9.66
41,Exit short,2025-04-11 17:00,TIME,1560.5,0.0001,0.155895,-0.0003,-0.20,0.002,1.14,-0.002,-1.45,-965.83,-9.66
41,Entry short,2025-04-11 13:00,Short-A,1558.95,0.0001,0.155895,-0.0003,-0.20,0.002,1.14,-0.002,-1.45,-965.83,-9.66
42,Exit short,2025-04-12 00:00,TIME,1571.99,11.4815,18059.25135,-7.61,-0.04,135.06,0.75,-163,-0.90,-973.44,-9.73
42,Entry short,2025-04-11 20:00,Short-A,1572.9,11.4815,18059.25135,-7.61,-0.04,135.06,0.75,-163,-0.90,-973.44,-9.73
43,Exit short,2025-04-12 14:30,TIME,1606.37,11.3416,18044.03194,-192.91,-1.07,38.16,0.21,-293.02,-1.62,-1166.35,-11.66
43,Entry short,2025-04-12 10:30,Short-C,1590.96,11.3416,18044.03194,-192.91,-1.07,38.16,0.21,-293.02,-1.62,-1166.35,-11.66
44,Exit short,2025-04-19 10:30,TIME,1602.18,11.017,17658.37811,-10.49,-0.06,84.93,0.48,-36.15,-0.20,-1176.84,-11.77
44,Entry short,2025-04-19 06:30,Short-C,1602.83,11.017,17658.37811,-10.49,-0.06,84.93,0.48,-36.15,-0.20,-1176.84,-11.77
45,Exit long,2025-05-03 12:30,TIME,1818.61,9.6566,17637.39364,-93.4,-0.53,25.27,0.14,-107.61,-0.61,-1270.24,-12.70
45,Entry long,2025-05-03 08:30,Long-A,1826.46,9.6566,17637.39364,-93.4,-0.53,25.27,0.14,-107.61,-0.61,-1270.24,-12.70
46,Exit long,2025-05-12 18:30,TP1,2507.88,4.1928,10470.1763,34.37,0.33,39.63,0.38,-32.74,-0.31,-1239.36,-12.39
46,Entry long,2025-05-12 18:00,Long-A,2497.18,4.1928,10470.1763,34.37,0.33,39.63,0.38,-32.74,-0.31,-1239.36,-12.39
47,Exit long,2025-05-12 19:00,BE,2497.18,2.7952,6980.117536,-6.98,-0.10,37.77,0.54,-21.83,-0.31,-1242.85,-12.43
47,Entry long,2025-05-12 18:00,Long-A,2497.18,2.7952,6980.117536,-6.98,-0.10,37.77,0.54,-21.83,-0.31,-1242.85,-12.43
