trade_id,strategy_name,symbol,direction,entry_time,exit_time,pnl_R,pnl_usd,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type
TV_1,ETH_ATR,ETHUSDT,long,2025-01-02 15:30:00,2025-01-02 16:33:00,-0.40895000000000004,-81.79,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_2,ETH_ATR,ETHUSDT,long,2025-01-06 01:24:00,2025-01-06 01:33:00,-0.231,-46.2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_3,ETH_ATR,ETHUSDT,long,2025-01-06 02:51:00,2025-01-06 03:03:00,0.0268,5.36,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_4,ETH_ATR,ETHUSDT,long,2025-01-06 02:51:00,2025-01-06 06:30:00,0.49060000000000004,98.12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_5,ETH_ATR,ETHUSDT,short,2025-01-07 16:00:00,2025-01-07 16:06:00,0.04475,8.95,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_6,ETH_ATR,ETHUSDT,short,2025-01-07 16:00:00,2025-01-07 16:39:00,1.2579,251.58,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_7,ETH_ATR,ETHUSDT,short,2025-01-16 14:09:00,2025-01-16 14:27:00,0.029300000000000003,5.86,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_8,ETH_ATR,ETHUSDT,short,2025-01-16 14:09:00,2025-01-16 15:42:00,0.56835,113.67,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_9,ETH_ATR,ETHUSDT,long,2025-01-20 17:36:00,2025-01-20 18:03:00,-1.0321500000000001,-206.43,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_10,ETH_ATR,ETHUSDT,long,2025-01-21 17:06:00,2025-01-21 18:18:00,0.0067,1.34,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_11,ETH_ATR,ETHUSDT,long,2025-01-24 15:39:00,2025-01-24 16:15:00,-0.35719999999999996,-71.44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_12,ETH_ATR,ETHUSDT,short,2025-01-27 00:30:00,2025-01-27 03:00:00,0.11055,22.11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_13,ETH_ATR,ETHUSDT,short,2025-01-27 00:30:00,2025-01-27 07:18:00,1.79725,359.45,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_14,ETH_ATR,ETHUSDT,long,2025-01-28 16:03:00,2025-01-28 16:09:00,-0.2379,-47.58,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_15,ETH_ATR,ETHUSDT,short,2025-01-29 20:33:00,2025-01-29 20:39:00,-1.24325,-248.65,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_16,ETH_ATR,ETHUSDT,short,2025-02-08 09:18:00,2025-02-08 10:21:00,-0.00755,-1.51,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_17,ETH_ATR,ETHUSDT,long,2025-02-10 16:09:00,2025-02-10 16:21:00,-0.18105000000000002,-36.21,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_18,ETH_ATR,ETHUSDT,short,2025-02-18 15:39:00,2025-02-18 16:45:00,0.031549999999999995,6.31,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_19,ETH_ATR,ETHUSDT,short,2025-02-18 15:39:00,2025-02-18 17:12:00,0.1877,37.54,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_20,ETH_ATR,ETHUSDT,long,2025-02-20 14:33:00,2025-02-20 14:39:00,-0.13305,-26.61,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_21,ETH_ATR,ETHUSDT,long,2025-02-26 10:39:00,2025-02-26 11:45:00,-0.04305,-8.61,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_22,ETH_ATR,ETHUSDT,long,2025-03-07 15:42:00,2025-03-07 15:45:00,0.08574999999999999,17.15,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_23,ETH_ATR,ETHUSDT,long,2025-03-07 15:42:00,2025-03-07 16:33:00,-0.5005,-100.1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_24,ETH_ATR,ETHUSDT,short,2025-03-12 10:21:00,2025-03-12 11:24:00,-0.1986,-39.72,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_25,ETH_ATR,ETHUSDT,long,2025-03-17 15:45:00,2025-03-17 15:54:00,-0.33,-66.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_26,ETH_ATR,ETHUSDT,long,2025-03-19 12:39:00,2025-03-19 13:45:00,-0.66685,-133.37,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_L
TV_27,ETH_ATR,ETHUSDT,short,2025-03-24 02:00:00,2025-03-24 02:54:00,0.02595,5.19,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_28,ETH_ATR,ETHUSDT,short,2025-03-24 02:00:00,2025-03-24 04:06:00,-0.19204999999999997,-38.41,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_29,ETH_ATR,ETHUSDT,short,2025-04-02 16:09:00,2025-04-02 16:30:00,-0.3118,-62.36,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_30,ETH_ATR,ETHUSDT,long,2025-04-08 16:03:00,2025-04-08 16:21:00,-0.47555,-95.11,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_31,ETH_ATR,ETHUSDT,short,2025-04-10 14:48:00,2025-04-10 15:30:00,0.00385,0.77,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_32,ETH_ATR,ETHUSDT,short,2025-04-10 14:48:00,2025-04-10 17:12:00,1.0644,212.88,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_34,ETH_ATR,ETHUSDT,long,2025-04-11 11:21:00,2025-04-11 12:33:00,0.72065,144.13,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_33,ETH_ATR,ETHUSDT,long,2025-04-11 11:21:00,2025-04-11 11:33:00,0.0298,5.96,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_35,ETH_ATR,ETHUSDT,short,2025-04-13 21:42:00,2025-04-13 22:48:00,-0.54675,-109.35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_36,ETH_ATR,ETHUSDT,short,2025-04-16 20:00:00,2025-04-16 21:06:00,-0.41700000000000004,-83.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_S
TV_37,ETH_ATR,ETHUSDT,short,2025-04-21 00:06:00,2025-04-21 00:18:00,0.012,2.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_38,ETH_ATR,ETHUSDT,short,2025-04-21 00:06:00,2025-04-21 01:18:00,-0.11115,-22.23,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_39,ETH_ATR,ETHUSDT,long,2025-04-21 03:48:00,2025-04-21 09:09:00,0.39525,79.05,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_L
TV_40,ETH_ATR,ETHUSDT,long,2025-04-21 16:21:00,2025-04-21 16:30:00,0.005,1.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_41,ETH_ATR,ETHUSDT,long,2025-04-21 16:21:00,2025-04-21 16:48:00,-0.24545000000000003,-49.09,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_42,ETH_ATR,ETHUSDT,short,2025-04-22 04:27:00,2025-04-22 05:30:00,-0.14859999999999998,-29.72,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_43,ETH_ATR,ETHUSDT,long,2025-04-22 17:00:00,2025-04-22 18:15:00,-0.08900000000000001,-17.8,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_L
TV_44,ETH_ATR,ETHUSDT,long,2025-04-25 16:12:00,2025-04-25 16:30:00,-0.39094999999999996,-78.19,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_45,ETH_ATR,ETHUSDT,long,2025-04-26 12:03:00,2025-04-26 13:00:00,-0.2413,-48.26,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_46,ETH_ATR,ETHUSDT,short,2025-04-28 00:03:00,2025-04-28 01:18:00,-0.0187,-3.74,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_47,ETH_ATR,ETHUSDT,long,2025-05-08 17:42:00,2025-05-08 18:48:00,-0.1472,-29.44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_L
TV_48,ETH_ATR,ETHUSDT,long,2025-05-09 10:42:00,2025-05-09 11:45:00,-0.75645,-151.29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DLY_L
TV_49,ETH_ATR,ETHUSDT,long,2025-05-10 03:21:00,2025-05-10 03:51:00,-0.19390000000000002,-38.78,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_51,ETH_ATR,ETHUSDT,long,2025-05-16 11:06:00,2025-05-16 14:15:00,0.05815000000000001,11.63,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_50,ETH_ATR,ETHUSDT,long,2025-05-16 11:06:00,2025-05-16 13:09:00,0.042199999999999994,8.44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_52,ETH_ATR,ETHUSDT,long,2025-05-22 16:06:00,2025-05-22 17:09:00,-0.0327,-6.54,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_53,ETH_ATR,ETHUSDT,short,2025-05-30 09:45:00,2025-05-30 10:48:00,-0.02465,-4.93,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_54,ETH_ATR,ETHUSDT,short,2025-05-31 12:33:00,2025-05-31 12:45:00,-0.0028499999999999997,-0.57,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_55,ETH_ATR,ETHUSDT,short,2025-05-31 12:33:00,2025-05-31 14:09:00,-0.1489,-29.78,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_56,ETH_ATR,ETHUSDT,long,2025-06-04 16:54:00,2025-06-04 17:15:00,0.03705,7.41,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_57,ETH_ATR,ETHUSDT,long,2025-06-04 16:54:00,2025-06-04 17:42:00,0.5345,106.9,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_L
TV_58,ETH_ATR,ETHUSDT,short,2025-06-05 15:45:00,2025-06-05 15:54:00,0.027200000000000002,5.44,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
TV_59,ETH_ATR,ETHUSDT,short,2025-06-05 15:45:00,2025-06-05 16:18:00,0.5085999999999999,101.72,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,IMP_S
