trade_id,strategy_name,symbol,direction,entry_time,exit_time,pnl_R,pnl_usd,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
TV_1,ETH_BAW,ETHUSDT,long,2025-01-02 23:25:00,2025-01-03 00:10:00,0.214,42.8,Off,unknown,unknown_20250102,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_2,ETH_BAW,ETHUSDT,short,2025-01-09 02:05:00,2025-01-09 02:20:00,-0.4017,-80.34,Asia,unknown,unknown_20250109,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_3,ETH_BAW,ETHUSDT,long,2025-01-09 11:35:00,2025-01-09 12:20:00,0.41240000000000004,82.48,London,unknown,unknown_20250109,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_4,ETH_BAW,ETHUSDT,short,2025-01-10 06:45:00,2025-01-10 07:30:00,0.09595000000000001,19.19,Asia,unknown,unknown_20250110,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_5,ETH_BAW,ETHUSDT,short,2025-01-12 16:30:00,2025-01-12 17:15:00,0.43845,87.69,weekend,unknown,unknown_20250112,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_6,ETH_BAW,ETHUSDT,short,2025-01-14 02:15:00,2025-01-14 03:00:00,0.052300000000000006,10.46,Asia,unknown,unknown_20250114,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_7,ETH_BAW,ETHUSDT,long,2025-01-16 14:30:00,2025-01-16 15:15:00,0.19585,39.17,overlap,unknown,unknown_20250116,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_8,ETH_BAW,ETHUSDT,long,2025-01-17 13:40:00,2025-01-17 14:25:00,0.1812,36.24,overlap,unknown,unknown_20250117,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_9,ETH_BAW,ETHUSDT,short,2025-01-17 20:25:00,2025-01-17 21:10:00,-0.43579999999999997,-87.16,NY,unknown,unknown_20250117,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_10,ETH_BAW,ETHUSDT,short,2025-01-18 16:20:00,2025-01-18 17:05:00,0.8077,161.54,weekend,unknown,unknown_20250118,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_11,ETH_BAW,ETHUSDT,long,2025-01-18 17:20:00,2025-01-18 17:50:00,-0.99785,-199.57,weekend,unknown,unknown_20250118,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_12,ETH_BAW,ETHUSDT,long,2025-01-20 17:15:00,2025-01-20 18:00:00,-0.58725,-117.45,NY,unknown,unknown_20250120,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_13,ETH_BAW,ETHUSDT,short,2025-01-21 13:20:00,2025-01-21 14:05:00,0.61545,123.09,overlap,unknown,unknown_20250121,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_14,ETH_BAW,ETHUSDT,long,2025-01-23 02:55:00,2025-01-23 03:05:00,-0.3235,-64.7,Asia,unknown,unknown_20250123,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_15,ETH_BAW,ETHUSDT,short,2025-01-24 14:05:00,2025-01-24 14:50:00,0.3311,66.22,overlap,unknown,unknown_20250124,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_16,ETH_BAW,ETHUSDT,short,2025-01-24 15:45:00,2025-01-24 16:30:00,0.62315,124.63,overlap,unknown,unknown_20250124,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_17,ETH_BAW,ETHUSDT,short,2025-01-28 16:05:00,2025-01-28 16:20:00,-0.61095,-122.19,NY,unknown,unknown_20250128,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_18,ETH_BAW,ETHUSDT,long,2025-01-29 17:20:00,2025-01-29 18:05:00,0.25715,51.43,NY,unknown,unknown_20250129,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_19,ETH_BAW,ETHUSDT,long,2025-01-31 21:25:00,2025-01-31 22:10:00,-0.4975,-99.5,weekend,unknown,unknown_20250131,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_20,ETH_BAW,ETHUSDT,long,2025-02-02 03:20:00,2025-02-02 03:35:00,-0.50195,-100.39,weekend,unknown,unknown_20250202,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_21,ETH_BAW,ETHUSDT,long,2025-02-03 01:45:00,2025-02-03 02:30:00,-1.3556,-271.12,Asia,unknown,unknown_20250203,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_22,ETH_BAW,ETHUSDT,short,2025-02-06 02:25:00,2025-02-06 03:10:00,-0.30774999999999997,-61.55,Asia,unknown,unknown_20250206,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_23,ETH_BAW,ETHUSDT,long,2025-02-06 15:25:00,2025-02-06 15:35:00,-0.30405,-60.81,overlap,unknown,unknown_20250206,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_24,ETH_BAW,ETHUSDT,short,2025-02-07 02:55:00,2025-02-07 03:40:00,-0.19010000000000002,-38.02,Asia,unknown,unknown_20250207,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_25,ETH_BAW,ETHUSDT,short,2025-02-08 20:30:00,2025-02-08 21:15:00,0.31434999999999996,62.87,weekend,unknown,unknown_20250208,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_26,ETH_BAW,ETHUSDT,short,2025-02-09 16:25:00,2025-02-09 16:30:00,-0.37125,-74.25,weekend,unknown,unknown_20250209,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_27,ETH_BAW,ETHUSDT,short,2025-02-10 18:30:00,2025-02-10 19:15:00,-0.0364,-7.28,NY,unknown,unknown_20250210,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_28,ETH_BAW,ETHUSDT,long,2025-02-12 00:00:00,2025-02-12 00:45:00,0.44270000000000004,88.54,Asia,unknown,unknown_20250212,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_29,ETH_BAW,ETHUSDT,long,2025-02-15 01:35:00,2025-02-15 02:20:00,0.17995,35.99,weekend,unknown,unknown_20250215,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_30,ETH_BAW,ETHUSDT,short,2025-02-16 06:50:00,2025-02-16 07:35:00,-0.24850000000000003,-49.7,weekend,unknown,unknown_20250216,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
TV_31,ETH_BAW,ETHUSDT,long,2025-02-17 00:05:00,2025-02-17 00:15:00,-0.18109999999999998,-36.22,Asia,unknown,unknown_20250217,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,多,unknown,unknown,unknown,unknown,unknown,unknown
TV_32,ETH_BAW,ETHUSDT,short,2025-02-17 09:15:00,2025-02-17 09:40:00,-0.32725000000000004,-65.45,London,unknown,unknown_20250217,unknown,unknown,unknown,neutral,unknown,unknown,unknown,unknown,unknown,空,unknown,unknown,unknown,unknown,unknown,unknown
