trade_id,strategy_name,symbol,direction,entry_time,exit_time,pnl_R,pnl_usd,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type
TV_1,ETH_BTP,ETHUSDT,short,2025-02-14 05:00:00,2025-02-14 09:00:00,-0.47525,-95.05,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-C
TV_2,ETH_BTP,ETHUSDT,short,2025-03-01 03:30:00,2025-03-01 07:30:00,0.5874,117.48,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_3,ETH_BTP,ETHUSDT,short,2025-03-01 03:30:00,2025-03-01 07:30:00,0.3006,60.12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_4,ETH_BTP,ETHUSDT,short,2025-03-02 05:30:00,2025-03-02 09:00:00,0.2091,41.82,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_5,ETH_BTP,ETHUSDT,short,2025-03-02 05:30:00,2025-03-02 09:00:00,0.21675,43.35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_6,ETH_BTP,ETHUSDT,short,2025-03-02 05:30:00,2025-03-02 09:30:00,5e-06,0.001,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_7,ETH_BTP,ETHUSDT,short,2025-03-02 11:30:00,2025-03-02 14:00:00,0.6311,126.22,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_8,ETH_BTP,ETHUSDT,short,2025-03-02 11:30:00,2025-03-02 14:00:00,0.4854,97.08,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_9,ETH_BTP,ETHUSDT,short,2025-03-02 11:30:00,2025-03-02 15:30:00,2.5e-05,0.005,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_10,ETH_BTP,ETHUSDT,short,2025-03-05 09:30:00,2025-03-05 10:30:00,-1.3093000000000001,-261.86,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_11,ETH_BTP,ETHUSDT,short,2025-03-05 09:30:00,2025-03-05 10:30:00,-0.87285,-174.57,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_12,ETH_BTP,ETHUSDT,short,2025-03-05 09:30:00,2025-03-05 10:30:00,-1.5e-05,-0.003,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_15,ETH_BTP,ETHUSDT,short,2025-03-08 15:00:00,2025-03-09 10:00:00,1.4999999999999998e-06,0.0003,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_14,ETH_BTP,ETHUSDT,short,2025-03-08 15:00:00,2025-03-08 17:30:00,-0.0398,-7.96,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_13,ETH_BTP,ETHUSDT,short,2025-03-08 15:00:00,2025-03-08 17:00:00,0.41200000000000003,82.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_16,ETH_BTP,ETHUSDT,short,2025-03-11 20:00:00,2025-03-11 21:00:00,0.27415,54.83,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_17,ETH_BTP,ETHUSDT,short,2025-03-11 20:00:00,2025-03-11 23:00:00,-0.0401,-8.02,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_18,ETH_BTP,ETHUSDT,short,2025-03-11 20:00:00,2025-03-12 00:00:00,1e-05,0.002,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_19,ETH_BTP,ETHUSDT,short,2025-03-14 12:30:00,2025-03-14 15:00:00,0.4543,90.86,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_20,ETH_BTP,ETHUSDT,short,2025-03-14 12:30:00,2025-03-14 15:00:00,-0.15645,-31.29,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_21,ETH_BTP,ETHUSDT,short,2025-03-14 12:30:00,2025-03-14 16:30:00,-1e-05,-0.002,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_22,ETH_BTP,ETHUSDT,short,2025-03-15 17:30:00,2025-03-15 21:30:00,-0.42314999999999997,-84.63,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-C
TV_23,ETH_BTP,ETHUSDT,short,2025-03-17 20:30:00,2025-03-18 00:30:00,0.7212000000000001,144.24,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-C
TV_24,ETH_BTP,ETHUSDT,short,2025-03-31 17:00:00,2025-03-31 19:30:00,0.62735,125.47,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_25,ETH_BTP,ETHUSDT,short,2025-03-31 17:00:00,2025-03-31 20:00:00,-0.04075,-8.15,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
TV_26,ETH_BTP,ETHUSDT,short,2025-03-31 17:00:00,2025-03-31 21:30:00,5e-06,0.001,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Short-A
