strategy_name,regime,field,total_trades,known_count,unknown_count,coverage_rate,readiness_status,dominant_value,dominant_value_share,distribution_json,informational_only
ATR_ETH_3m,range,session,75,75,0,1.0,PASS,overlap,0.5067,"{""overlap"": 38, ""weekend"": 19, ""Asia"": 11, ""London"": 5, ""NY"": 2}",True
ATR_ETH_3m,range,structure_state,75,75,0,1.0,PASS,range,1.0,"{""range"": 75}",True
ATR_ETH_3m,range,volatility_state,75,75,0,1.0,PASS,medium,0.4,"{""medium"": 30, ""low"": 29, ""high"": 16}",True
ATR_ETH_3m,range,oi_state,75,75,0,1.0,PASS,flat,0.68,"{""flat"": 51, ""rising"": 16, ""falling"": 8}",True
ATR_ETH_3m,range,funding_state,75,75,0,1.0,PASS,positive,0.84,"{""positive"": 63, ""negative"": 12}",True
ATR_ETH_3m,range,etf_flow_state,75,75,0,1.0,PASS,neutral,0.3733,"{""neutral"": 28, ""outflow"": 26, ""inflow"": 21}",True
ATR_ETH_3m,trend_down,session,36,36,0,1.0,PASS,overlap,0.4722,"{""overlap"": 17, ""weekend"": 8, ""Asia"": 6, ""NY"": 4, ""London"": 1}",True
ATR_ETH_3m,trend_down,structure_state,36,36,0,1.0,PASS,trend_down,1.0,"{""trend_down"": 36}",True
ATR_ETH_3m,trend_down,volatility_state,36,36,0,1.0,PASS,low,0.4722,"{""low"": 17, ""high"": 14, ""medium"": 5}",True
ATR_ETH_3m,trend_down,oi_state,36,36,0,1.0,PASS,flat,0.6111,"{""flat"": 22, ""falling"": 11, ""rising"": 3}",True
ATR_ETH_3m,trend_down,funding_state,36,36,0,1.0,PASS,positive,0.6944,"{""positive"": 25, ""negative"": 10, ""neutral"": 1}",True
ATR_ETH_3m,trend_down,etf_flow_state,36,36,0,1.0,PASS,neutral,0.4722,"{""neutral"": 17, ""outflow"": 15, ""inflow"": 4}",True
ATR_ETH_3m,trend_up,session,33,33,0,1.0,PASS,overlap,0.4545,"{""overlap"": 15, ""weekend"": 9, ""London"": 4, ""Asia"": 4, ""NY"": 1}",True
ATR_ETH_3m,trend_up,structure_state,33,33,0,1.0,PASS,trend_up,1.0,"{""trend_up"": 33}",True
ATR_ETH_3m,trend_up,volatility_state,33,33,0,1.0,PASS,high,0.5152,"{""high"": 17, ""medium"": 10, ""low"": 6}",True
ATR_ETH_3m,trend_up,oi_state,33,30,3,0.9091,PASS,flat,0.5152,"{""flat"": 17, ""rising"": 9, ""falling"": 4}",True
ATR_ETH_3m,trend_up,funding_state,33,30,3,0.9091,PASS,positive,0.9091,"{""positive"": 30}",True
ATR_ETH_3m,trend_up,etf_flow_state,33,33,0,1.0,PASS,inflow,0.5455,"{""inflow"": 18, ""neutral"": 10, ""outflow"": 5}",True
BAW_ETH_5m,range,session,80,80,0,1.0,PASS,overlap,0.2625,"{""overlap"": 21, ""Asia"": 19, ""NY"": 17, ""London"": 12, ""weekend"": 11}",True
BAW_ETH_5m,range,structure_state,80,80,0,1.0,PASS,range,1.0,"{""range"": 80}",True
BAW_ETH_5m,range,volatility_state,80,80,0,1.0,PASS,medium,0.3375,"{""medium"": 27, ""low"": 27, ""high"": 26}",True
BAW_ETH_5m,range,oi_state,80,77,3,0.9625,PASS,flat,0.5625,"{""flat"": 45, ""rising"": 19, ""falling"": 13}",True
