trade_id,strategy_name,symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl_R,pnl_usd,exit_reason,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
T0001,BAW_ETH_5m,ETHUSDT,long,2025-05-01 13:45:00,2025-05-01 13:55:00,1834.8335,1826.172,-1.402,-39.1543,EXT,overlap,range,range_W18_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W18_2025,unknown,unknown,unknown,unknown,unknown
T0002,BAW_ETH_5m,ETHUSDT,short,2025-05-02 10:50:00,2025-05-02 11:50:00,1829.567,1831.59,-0.749,-12.0428,TIME,London,range,range_W18_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W18_2025,unknown,unknown,unknown,unknown,unknown
T0003,BAW_ETH_5m,ETHUSDT,short,2025-05-02 16:05:00,2025-05-02 17:05:00,1857.4942,1842.25,1.055,57.8016,TIME,NY,range,range_W18_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W18_2025,unknown,unknown,unknown,unknown,unknown
T0004,BAW_ETH_5m,ETHUSDT,short,2025-05-08 01:10:00,2025-05-08 01:20:00,1824.5275,1830.5087,-1.66,-28.3364,EXT,Asia,trend_up,trend_up_20250508,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0005,ATR_ETH_3m,ETHUSDT,long,2025-05-08 15:42:00,2025-05-08 16:48:00,2057.6857,2052.42,-0.072,-22.943,SL,overlap,trend_up,trend_up_20250508,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0006,BAW_ETH_5m,ETHUSDT,short,2025-05-08 18:20:00,2025-05-08 18:35:00,2055.0145,2068.61,-1.298,-53.3683,3BAR,NY,trend_up,trend_up_20250508,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0007,ATR_ETH_3m,ETHUSDT,long,2025-05-09 08:42:00,2025-05-09 09:45:00,2378.9479,2342.63,-0.384,-118.2477,CH_IN,London,trend_up,trend_up_20250509,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0008,ATR_ETH_3m,ETHUSDT,long,2025-05-10 01:21:00,2025-05-10 01:51:00,2347.1847,2338.72,-0.669,-30.7974,SL,weekend,trend_up,trend_up_20250510,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0009,BAW_ETH_5m,ETHUSDT,long,2025-05-11 00:30:00,2025-05-11 01:30:00,2544.5244,2550.97,0.158,15.2484,TIME,weekend,trend_up,trend_up_20250511,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0010,BAW_ETH_5m,ETHUSDT,long,2025-05-11 15:55:00,2025-05-11 16:55:00,2461.4661,2470.05,0.364,22.4048,TIME,weekend,trend_up,trend_up_20250511,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W19_2025,unknown,unknown,unknown,unknown,unknown
T0011,BAW_ETH_5m,ETHUSDT,long,2025-05-12 12:00:00,2025-05-12 13:00:00,2537.8738,2549.69,1.069,31.1697,TIME,overlap,trend_up,trend_up_20250512,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0012,BAW_ETH_5m,ETHUSDT,short,2025-05-13 22:25:00,2025-05-13 22:55:00,2696.5003,2677.7782,2.169,48.3233,TP2,Asia,trend_up,trend_up_20250513,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0013,BAW_ETH_5m,ETHUSDT,long,2025-05-13 23:05:00,2025-05-14 00:05:00,2677.9278,2676.16,-0.142,-8.7009,TIME,Asia,trend_up,trend_up_20250513,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0014,BAW_ETH_5m,ETHUSDT,long,2025-05-15 21:25:00,2025-05-15 22:00:00,2525.9326,2543.1364,1.188,47.3316,TP2,Asia,trend_up,trend_up_20250515,trend_up,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0015,BAW_ETH_5m,ETHUSDT,short,2025-05-16 07:30:00,2025-05-16 08:20:00,2605.7394,2578.476,4.702,74.7212,TP2,London,trend_up,trend_up_20250516,trend_up,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0016,ATR_ETH_3m,ETHUSDT,long,2025-05-16 09:06:00,2025-05-16 12:15:00,2604.3304,2609.21,0.202,16.0015,SL,London,trend_up,trend_up_20250516,trend_up,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W20_2025,unknown,unknown,unknown,unknown,unknown
T0017,BAW_ETH_5m,ETHUSDT,short,2025-05-19 06:15:00,2025-05-19 06:30:00,2384.0416,2369.6645,1.429,41.479,TP2,Asia,trend_up,trend_up_20250519,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W21_2025,unknown,unknown,unknown,unknown,unknown
T0018,BAW_ETH_5m,ETHUSDT,long,2025-05-19 18:35:00,2025-05-19 19:30:00,2497.8898,2510.5782,0.627,34.3475,TP2,NY,trend_up,trend_up_20250519,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W21_2025,unknown,unknown,unknown,unknown,unknown
T0019,BAW_ETH_5m,ETHUSDT,short,2025-05-21 22:35:00,2025-05-21 22:50:00,2517.2982,2539.95,-2.723,-71.2383,3BAR,Asia,trend_up,trend_up_20250521,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W21_2025,unknown,unknown,unknown,unknown,unknown
